Volume,Host i,Host ID,Host R200,Host CoM,Host Mtot,Host M*,Sat i,Sat ID,Sat CoM,Sat Mtot,Sat M*
1,0,1,66.82561137220088,[ 22.095863  62.889378 176.62039 ],31925205000.0,44943520.0,"[16860 16861 16862 16863 16864 16865 16866 16867 16868 16869 16870 16871
 16872 16873 16874 16875 16876 16877 16878 16879 16880 16881 16882 16883
 16884 16885 16886 16887 16888 16889 16890 16891 16892 16893 16894 16895
 16896 16897 16898 16899]","[16859 16860 16861 16862 16863 16864 16865 16866 16867 16868 16869 16870
 16871 16872 16873 16874 16875 16876 16877 16878 16879 16880 16881 16882
 16883 16884 16885 16886 16887 16888 16889 16890 16891 16892 16893 16894
 16895 16896 16897 16898]","[[ 22.04979   62.91686  176.62668 ]
 [ 22.09756   62.90329  176.6443  ]
 [ 22.177235  62.853203 176.63988 ]
 [ 22.12659   62.813618 176.65462 ]
 [ 22.049522  62.881397 176.61133 ]
 [ 22.090881  62.865524 176.62376 ]
 [ 22.079863  62.867104 176.62035 ]
 [ 22.098244  62.887684 176.65666 ]
 [ 22.04706   62.902493 176.57896 ]
 [ 22.118275  62.8577   176.55586 ]
 [ 22.099167  62.937637 176.6224  ]
 [ 22.117542  62.93762  176.58624 ]
 [ 22.061728  62.87812  176.66304 ]
 [ 22.066235  62.92887  176.63431 ]
 [ 22.058733  62.90092  176.63606 ]
 [ 22.137512  62.879482 176.53452 ]
 [ 22.078745  62.933277 176.60822 ]
 [ 22.082361  62.888916 176.63861 ]
 [ 22.02108   62.88382  176.5583  ]
 [ 22.142359  62.862514 176.62451 ]
 [ 22.06456   62.879776 176.6646  ]
 [ 22.094719  62.946384 176.5946  ]
 [ 22.160213  62.881866 176.57582 ]
 [ 22.11972   62.911446 176.60516 ]
 [ 22.059107  62.911995 176.62538 ]
 [ 22.074648  62.90157  176.6569  ]
 [ 22.086205  62.91803  176.59386 ]
 [ 22.108603  62.951454 176.55634 ]
 [ 22.088644  62.844025 176.66635 ]
 [ 22.047083  62.901985 176.62071 ]
 [ 22.091158  62.899033 176.65103 ]
 [ 22.098019  62.89347  176.54764 ]
 [ 22.04301   62.884495 176.58173 ]
 [ 22.129269  62.885105 176.65187 ]
 [ 22.13776   62.8657   176.59059 ]
 [ 22.104366  62.92827  176.66946 ]
 [ 22.088028  62.906635 176.6148  ]
 [ 22.106373  62.94368  176.59602 ]
 [ 22.096851  62.887226 176.60538 ]
 [ 22.068565  62.876694 176.59921 ]]","[7.57651520e+08 2.86595744e+08 2.00583968e+08 1.52782656e+08
 1.27974376e+08 1.34932800e+08 1.14965168e+08 7.75807520e+07
 7.13994160e+07 5.08267080e+07 4.02378120e+07 3.87251080e+07
 3.66073280e+07 2.96489100e+07 2.93463720e+07 2.51108120e+07
 2.66235140e+07 2.72285920e+07 2.72285920e+07 2.63209700e+07
 2.39006520e+07 1.81523980e+07 2.02701760e+07 1.84549400e+07
 1.96650980e+07 1.84549400e+07 1.72447780e+07 1.63371600e+07
 1.57320790e+07 1.63371600e+07 1.51269980e+07 1.48244580e+07
 1.39168400e+07 1.05888990e+07 8.47111800e+06 9.07619800e+06
 7.86603850e+06 8.47111800e+06 6.95841800e+06 3.95224269e+09]","[ 394012.8   392995.94       0.         0.         0.         0.
       0.    130531.01       0.         0.         0.         0.
       0.         0.         0.         0.         0.         0.
       0.         0.         0.         0.         0.         0.
       0.         0.         0.         0.         0.         0.
       0.         0.         0.         0.         0.         0.
       0.         0.         0.   6923143.5 ]"
1,1,2,59.891383070785935,[ 18.187292  61.344604 176.81729 ],22646358000.0,119394860.0,[16900 16901 16902 16903 16904 16905 16906 16907 16908 16909 16910],[16899 16900 16901 16902 16903 16904 16905 16906 16907 16908 16909],"[[ 18.150831  61.352463 176.83871 ]
 [ 18.173616  61.307045 176.8153  ]
 [ 18.137806  61.3186   176.78255 ]
 [ 18.15241   61.357162 176.76202 ]
 [ 18.21113   61.325043 176.82507 ]
 [ 18.187878  61.340405 176.7948  ]
 [ 18.146847  61.34417  176.78583 ]
 [ 18.224009  61.399227 176.84317 ]
 [ 18.179958  61.37033  176.8287  ]
 [ 18.150122  61.369064 176.78221 ]
 [ 18.21381   61.330437 176.87607 ]]","[2.1208048e+08 3.6002244e+07 3.3279386e+07 2.4203196e+07 2.2085416e+07
 1.2706678e+07 9.9838180e+06 1.0891439e+07 8.7736580e+06 7.8660385e+06
 6.3533385e+06]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1,2,3,51.55150422005025,[ 20.056503  54.926327 182.64604 ],15981215000.0,45367436.0,"[16911 16912 16913 16914 16915 16916 16917 16918 16919 16920 16921 16922
 16923 16924 16925]","[16910 16911 16912 16913 16914 16915 16916 16917 16918 16919 16920 16921
 16922 16923 16924]","[[ 20.06737   54.890022 182.57317 ]
 [ 20.051756  54.966064 182.58304 ]
 [ 20.0626    54.85786  182.62805 ]
 [ 20.056572  54.87249  182.54224 ]
 [ 20.074938  54.86949  182.59541 ]
 [ 20.054499  54.913906 182.56264 ]
 [ 20.061996  54.942436 182.64784 ]
 [ 20.058609  54.89439  182.55592 ]
 [ 20.06635   54.92944  182.61722 ]
 [ 20.057514  54.890816 182.5586  ]
 [ 20.10443   54.948177 182.66086 ]
 [ 20.089779  54.931858 182.652   ]
 [ 20.085701  54.88404  182.56636 ]
 [ 20.12224   54.92802  182.55412 ]
 [ 20.078623  54.908993 182.58902 ]]","[1.2010835e+08 9.8628016e+07 4.7498768e+07 3.7817484e+07 2.9346372e+07
 2.5110812e+07 2.1480332e+07 1.8454940e+07 1.2706678e+07 1.2101598e+07
 1.3009219e+07 7.8660385e+06 7.8660385e+06 6.6558785e+06 5.0339676e+09]","[       0.        0.        0.        0.        0.        0.        0.
        0.        0.        0.        0.        0.        0.        0.
 23518926.]"
1,3,4,44.03140055853899,[ 19.577309  60.175423 177.27405 ],10813574000.0,3342861.5,"[16926 16927 16928 16929 16930 16931 16932 16933 16934 16935 16936 16937
 16938 16939 16940 16941 16942 16943 16944 16945 16946]","[16925 16926 16927 16928 16929 16930 16931 16932 16933 16934 16935 16936
 16937 16938 16939 16940 16941 16942 16943 16944 16945]","[[ 19.546091  60.174793 177.32237 ]
 [ 19.565107  60.164673 177.30605 ]
 [ 19.587584  60.17717  177.25874 ]
 [ 19.597702  60.1596   177.3031  ]
 [ 19.592014  60.15553  177.27571 ]
 [ 19.60579   60.166775 177.28575 ]
 [ 19.598114  60.14665  177.31862 ]
 [ 19.537493  60.196514 177.28688 ]
 [ 19.559206  60.22281  177.25255 ]
 [ 19.622463  60.154305 177.24078 ]
 [ 19.55968   60.15658  177.2803  ]
 [ 19.56181   60.204082 177.27592 ]
 [ 19.546043  60.176605 177.3275  ]
 [ 19.543787  60.206985 177.325   ]
 [ 19.56512   60.155178 177.23174 ]
 [ 19.549343  60.17091  177.29938 ]
 [ 19.58328   60.21146  177.23456 ]
 [ 19.585638  60.135593 177.2954  ]
 [ 19.611767  60.17796  177.22105 ]
 [ 19.569862  60.143887 177.32014 ]
 [ 19.5451    60.190548 177.31293 ]]","[1.1587278e+08 8.1988312e+07 4.9919088e+07 4.1750512e+07 2.7833670e+07
 2.3598112e+07 2.1782876e+07 1.6034619e+07 1.5429538e+07 1.3916840e+07
 1.3311759e+07 1.2404138e+07 1.1799061e+07 1.0891439e+07 8.4711180e+06
 9.3787370e+06 7.5634985e+06 7.5634985e+06 6.9584180e+06 5.7482590e+06
 2.8559766e+08]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1,4,5,43.31627749388891,[ 26.465242  59.237843 187.44919 ],7992674000.0,26974474.0,[16947 16948 16949 16950 16951 16952 16953 16954 16955 16956 16957],[16946 16947 16948 16949 16950 16951 16952 16953 16954 16955 16956],"[[ 26.49109   59.226646 187.45541 ]
 [ 26.493517  59.29488  187.46404 ]
 [ 26.45212   59.205906 187.45824 ]
 [ 26.45897   59.215153 187.48662 ]
 [ 26.50263   59.23378  187.47061 ]
 [ 26.482323  59.244156 187.4423  ]
 [ 26.452528  59.21108  187.48892 ]
 [ 26.433695  59.245655 187.42966 ]
 [ 26.525595  59.20834  187.4551  ]
 [ 26.530228  59.236504 187.46082 ]
 [ 26.491861  59.226707 187.45454 ]]","[1.3614296e+08 1.2646168e+08 4.4775908e+07 3.9027656e+07 3.2069230e+07
 2.3295572e+07 1.5429538e+07 7.8660385e+06 5.7482590e+06 6.0507990e+06
 1.2404138e+07]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1,5,6,43.08134180092981,[ 28.011307  58.385178 181.58044 ],10567183000.0,4603199.0,"[16958 16959 16960 16961 16962 16963 16964 16965 16966 16967 16968 16969
 16970 16971 16972 16973 16974 16975 16976 16977 16978 16979 16980 16981
 16982 16983]","[16957 16958 16959 16960 16961 16962 16963 16964 16965 16966 16967 16968
 16969 16970 16971 16972 16973 16974 16975 16976 16977 16978 16979 16980
 16981 16982]","[[ 28.003752  58.3911   181.57123 ]
 [ 27.992157  58.39003  181.53847 ]
 [ 27.948595  58.36506  181.57454 ]
 [ 28.04716   58.389065 181.57079 ]
 [ 28.015121  58.3383   181.59003 ]
 [ 28.02462   58.35654  181.57834 ]
 [ 27.968676  58.386482 181.57568 ]
 [ 28.01636   58.427326 181.60263 ]
 [ 28.008936  58.40784  181.61453 ]
 [ 27.966928  58.385567 181.54121 ]
 [ 28.005491  58.34794  181.57985 ]
 [ 27.974083  58.39687  181.59442 ]
 [ 28.036205  58.393856 181.64752 ]
 [ 28.010118  58.383816 181.6227  ]
 [ 28.014795  58.38463  181.56898 ]
 [ 27.979565  58.34556  181.64008 ]
 [ 28.002539  58.382824 181.61499 ]
 [ 27.9605    58.411606 181.5889  ]
 [ 28.0425    58.354103 181.58522 ]
 [ 28.024723  58.356285 181.55923 ]
 [ 27.975584  58.382786 181.60556 ]
 [ 28.021973  58.411167 181.65195 ]
 [ 28.077164  58.360355 181.61183 ]
 [ 28.043564  58.354443 181.55696 ]
 [ 27.981457  58.39118  181.56496 ]
 [ 28.083717  58.398262 181.57588 ]]","[1.1436010e+08 6.2625756e+07 5.2339404e+07 4.6591152e+07 3.2976848e+07
 3.1464150e+07 3.1161606e+07 2.0572714e+07 1.9665098e+07 1.9967636e+07
 1.7849858e+07 1.5732079e+07 1.4521917e+07 1.3614300e+07 6.0507990e+06
 1.1193980e+07 1.0891439e+07 1.0588899e+07 1.0588899e+07 1.0588899e+07
 1.0286359e+07 1.0286359e+07 9.3787370e+06 8.1685780e+06 8.4711180e+06
 7.5634985e+06]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
1,6,7,44.21455905965903,[ 20.144028  55.62955  183.70006 ],9833531000.0,7377040.0,"[16984 16985 16986 16987 16988 16989 16990 16991 16992 16993 16994 16995
 16996]","[16983 16984 16985 16986 16987 16988 16989 16990 16991 16992 16993 16994
 16995]","[[ 20.142338  55.631275 183.71477 ]
 [ 20.117052  55.59818  183.66754 ]
 [ 20.160645  55.607014 183.69586 ]
 [ 20.165829  55.648468 183.72197 ]
 [ 20.122896  55.60745  183.68033 ]
 [ 20.145037  55.629295 183.72913 ]
 [ 20.121414  55.625698 183.7407  ]
 [ 20.15198   55.628456 183.68358 ]
 [ 20.175884  55.659107 183.68501 ]
 [ 20.127716  55.672638 183.69095 ]
 [ 20.138618  55.639122 183.70558 ]
 [ 20.13992   55.611702 183.66753 ]
 [ 20.12004   55.606457 183.68193 ]]","[3.3884468e+07 3.1766690e+07 2.3900652e+07 2.1782876e+07 1.9967636e+07
 1.7244778e+07 1.6034619e+07 1.3614300e+07 1.2706678e+07 1.1496520e+07
 5.1431795e+06 6.3533385e+06 2.3356082e+08]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1,7,8,38.69772082001734,[ 23.524178  55.166203 178.34123 ],2246705700.0,47720908.0,[16997 16998 16999 17000 17001 17002 17003],[16996 16997 16998 16999 17000 17001 17002],"[[ 23.55777   55.126442 178.38416 ]
 [ 23.52049   55.185577 178.32726 ]
 [ 23.561245  55.088814 178.35576 ]
 [ 23.507538  55.119408 178.32707 ]
 [ 23.520407  55.191868 178.32443 ]
 [ 23.486185  55.183643 178.27785 ]
 [ 23.48462   55.14858  178.35672 ]]","[98325480.  82895944.  44473372.  33581924.  28741288.  13916840.
  6353338.5]",[0. 0. 0. 0. 0. 0. 0.]
1,8,9,40.79488370081911,[ 21.734314  62.52336  176.49556 ],8521878000.0,3486528.5,"[17004 17005 17006 17007 17008 17009 17010 17011 17012 17013 17014 17015
 17016]","[17003 17004 17005 17006 17007 17008 17009 17010 17011 17012 17013 17014
 17015]","[[ 21.77335   62.522102 176.47333 ]
 [ 21.731405  62.532475 176.51543 ]
 [ 21.7171    62.524506 176.47491 ]
 [ 21.718895  62.481903 176.48141 ]
 [ 21.692495  62.528946 176.50905 ]
 [ 21.683899  62.53975  176.52205 ]
 [ 21.701923  62.520363 176.49332 ]
 [ 21.71468   62.48364  176.45677 ]
 [ 21.758242  62.531185 176.50575 ]
 [ 21.747766  62.526646 176.45703 ]
 [ 21.72014   62.573067 176.51312 ]
 [ 21.773409  62.5214   176.47272 ]
 [ 21.692019  62.529816 176.51086 ]]","[36607330.  29346372.  24505734.  22085416.  16942238.  17547318.
 14219380.  12404138.   8471118.   6655878.5  8168578.  34187010.
 63230840. ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1,9,10,37.69045416080038,[ 18.782547  62.26966  176.62714 ],6786502700.0,3089592.8,[17017 17018 17019 17020 17021 17022 17023 17024 17025],[17016 17017 17018 17019 17020 17021 17022 17023 17024],"[[ 18.782427  62.26703  176.6344  ]
 [ 18.783037  62.291424 176.62817 ]
 [ 18.763668  62.216892 176.61328 ]
 [ 18.78511   62.29006  176.60477 ]
 [ 18.764744  62.271564 176.59587 ]
 [ 18.777952  62.27695  176.59967 ]
 [ 18.787775  62.263107 176.6097  ]
 [ 18.765406  62.271923 176.59604 ]
 [ 18.749113  62.27263  176.58699 ]]","[63664164.  54759724.  29951450.  30253990.  12706678.  11193980.
  7260958.5 13311759.  64440996. ]","[130787.2      0.       0.       0.       0.       0.       0.       0.
      0. ]"
