#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
1,RU LUP,000-BBW-753,2451552.1278,11.1,,False,Visual,Visual,JA,,
2,RU LUP,000-BBW-753,2451554.1271,11.2,,False,Visual,Visual,JA,,
3,RU LUP,000-BBW-753,2451556.1306,11.2,,False,Visual,Visual,JA,,
4,RU LUP,000-BBW-753,2451557.1222,10.7,,False,Visual,Visual,JA,,
5,RU LUP,000-BBW-753,2451558.1403,10.7,,False,Visual,Visual,JA,,
6,RU LUP,000-BBW-753,2451560.1535,10.5,,False,Visual,Visual,JA,,
7,RU LUP,000-BBW-753,2451561.1271,10.6,,False,Visual,Visual,JA,,
8,RU LUP,000-BBW-753,2451562.1396,10.7,,False,Visual,Visual,JA,,
9,RU LUP,000-BBW-753,2451563.1326,11.0,,False,Visual,Visual,JA,,
10,RU LUP,000-BBW-753,2451569.1465,10.9,,False,Visual,Visual,JA,,
11,RU LUP,000-BBW-753,2451571.1368,10.8,,False,Visual,Visual,JA,,
12,RU LUP,000-BBW-753,2451574.1146,10.9,,False,Visual,Visual,JA,,
13,RU LUP,000-BBW-753,2451575.1361,10.8,,False,Visual,Visual,JA,,
14,RU LUP,000-BBW-753,2451578.1465,10.9,,False,Visual,Visual,JA,,
15,RU LUP,000-BBW-753,2451579.1549,10.8,,False,Visual,Visual,JA,,
16,RU LUP,000-BBW-753,2451581.1410,11.1,,False,Visual,Visual,JA,,
17,RU LUP,000-BBW-753,2451583.1444,11.1,,False,Visual,Visual,JA,,
18,RU LUP,000-BBW-753,2451591.1431,10.8,,False,Visual,Visual,JA,,
19,RU LUP,000-BBW-753,2451592.1576,11.0,,False,Visual,Visual,JA,,
20,RU LUP,000-BBW-753,2451595.1181,10.9,,False,Visual,Visual,JA,,
21,RU LUP,000-BBW-753,2451596.1715,11.2,,False,Visual,Visual,JA,,
22,RU LUP,000-BBW-753,2451598.2042,11.4,,False,Visual,Visual,JA,,
23,RU LUP,000-BBW-753,2451599.1653,11.7,,False,Visual,Visual,JA,,
24,RU LUP,000-BBW-753,2451603.1514,11.6,,False,Visual,Visual,JA,,
25,RU LUP,000-BBW-753,2451604.1486,11.6,,False,Visual,Visual,JA,,
26,RU LUP,000-BBW-753,2451605.1521,11.3,,False,Visual,Visual,JA,,
27,RU LUP,000-BBW-753,2451606.2063,11.3,,False,Visual,Visual,JA,,
28,RU LUP,000-BBW-753,2451607.1535,11.0,,False,Visual,Visual,JA,,
29,RU LUP,000-BBW-753,2451609.1542,11.6,,False,Visual,Visual,JA,,
30,RU LUP,000-BBW-753,2451610.1500,11.6,,False,Visual,Visual,JA,,
31,RU LUP,000-BBW-753,2451612.1181,11.0,,False,Visual,Visual,JA,,
32,RU LUP,000-BBW-753,2451614.1729,11.3,,False,Visual,Visual,JA,,
33,RU LUP,000-BBW-753,2451618.1479,11.0,,False,Visual,Visual,JA,,
