Aul_total,J_initial,J_progression,LyA_pumping,lower_energy_eV,prog_energy_eV,g_initial,nuc_spin_init,nuc_spin_prog,g_progression,oscillator strength
13225.81054,0,1,1214.227,9.40E-10,3.425109433,1,0,1,3,1.79E-05
19832.71809,1,1,1214.283,0.000476729,3.425109433,9,1,1,3,8.93E-06
6611.510579,2,1,1214.397,0.001430166,3.425109433,5,0,1,3,1.79E-06
11901.04214,1,2,1214.211,0.000476729,3.425941434,9,1,0,5,8.93E-06
19838.25401,2,2,1214.325,0.001430166,3.425941434,5,0,0,5,1.79E-06
7931.984495,3,2,1214.495,0.002860276,3.425941434,21,1,0,5,1.79E-06
11335.88748,2,3,1214.213,0.001430166,3.427189391,5,0,1,7,1.79E-06
19830.51191,3,3,1214.383,0.002860276,3.427189391,21,1,1,7,2.55E-06
8495.160306,4,3,1214.61,0.004767005,3.427189391,9,0,1,7,1.79E-06
11022.94056,3,4,1214.232,0.002860276,3.428853248,21,1,0,9,7.14E-06
19821.43527,4,4,1214.459,0.004767005,3.428853248,9,0,0,9,2.55E-06
8809.109403,5,4,1214.743,0.00715028,3.428853248,33,1,0,9,1.79E-06
10817.27726,4,5,1214.273,0.004767005,3.430932933,9,0,1,11,8.93E-06
19811.41751,5,5,1214.556,0.00715028,3.430932933,33,1,1,11,2.55E-06
9008.913849,6,5,1214.896,0.010010009,3.430932933,13,0,1,11,1.79E-06
10678.86489,5,6,1214.332,0.00715028,3.433428353,33,1,0,13,8.93E-06
19828.13787,6,6,1214.672,0.010010009,3.433428353,13,0,0,13,2.55E-06
9141.077151,7,6,1215.07,0.013346083,3.433428353,45,1,0,13,1.79E-06
10575.99885,6,7,1214.41,0.010010009,3.436339399,13,0,1,15,5.95E-06
19816.98099,7,7,1214.807,0.013346083,3.436339399,45,1,1,15,2.55E-06
9240.871744,8,7,1215.261,0.017158376,3.436339399,17,0,1,15,1.79E-06
10492.83702,7,8,1214.509,0.013346083,3.439665943,45,1,0,17,3.25E-06
19795.58303,8,8,1214.963,0.017158376,3.439665943,17,0,0,17,8.93E-06
9315.433185,9,8,1215.474,0.02144674,3.439665943,57,1,0,17,1.79E-05
10435.25691,8,9,1214.628,0.017158376,3.44340784,17,0,1,19,8.93E-06
19821.55869,9,9,1215.139,0.02144674,3.44340784,57,1,1,19,8.93E-06
9369.849217,10,9,1215.706,0.026211013,3.44340784,21,0,1,19,1.79E-05
10373.80446,9,10,1214.767,0.02144674,3.447564923,57,1,0,21,2.97E-06
19793.96203,10,10,1215.334,0.026211013,3.447564923,21,0,0,21,8.93E-06
9420.780387,11,10,1215.958,0.031451012,3.447564923,69,1,0,21,1.79E-05
10335.17845,10,11,1214.923,0.026211013,3.452137012,21,0,1,23,7.14E-06
19809.42984,11,11,1215.547,0.031451012,3.452137012,69,1,1,23,8.93E-06
9448.9767,12,11,1216.229,0.037166537,3.452137012,25,0,1,23,1.79E-05
10303.33554,11,12,1215.102,0.031451012,3.457123903,69,1,0,25,8.93E-06
19792.06833,12,12,1215.783,0.037166537,3.457123903,25,0,0,25,8.93E-06
9483.400547,13,12,1216.521,0.04335737,3.457123903,81,1,0,25,1.79E-05
10266.30099,12,13,1215.298,0.037166537,3.46252538,25,0,1,27,8.93E-06
19764.53926,13,13,1216.036,0.04335737,3.46252538,81,1,1,27,8.93E-06
9513.017919,14,13,1216.832,0.050023274,3.46252538,29,0,1,27,1.79E-05
10238.2421,13,14,1215.514,0.04335737,3.468341203,81,1,0,29,2.55E-06
19754.11078,14,14,1216.309,0.050023274,3.468341203,29,0,0,29,1.79E-06
9529.026947,15,14,1217.162,0.057163994,3.468341203,93,1,0,29,1.79E-05
10211.58303,14,15,1215.75,0.050023274,3.474571116,29,0,1,31,8.93E-06
19746.24755,15,15,1216.602,0.057163994,3.474571116,93,1,1,31,1.79E-06
9546.301108,16,15,1217.512,0.064779257,3.474571116,33,0,1,31,1.79E-05
10180.23839,15,16,1216.006,0.057163994,3.481214847,93,1,0,33,8.93E-06
19729.17362,16,16,1216.915,0.064779257,3.481214847,33,0,0,33,1.79E-06
9559.143032,17,16,1217.882,0.072868773,3.481214847,105,1,0,33,1.79E-05
10162.66088,16,17,1216.281,0.064779257,3.488272102,33,0,1,35,8.93E-06
19738.66849,17,17,1217.247,0.072868773,3.488272102,105,1,1,35,1.79E-06
9562.852703,18,17,1218.271,0.081432232,3.488272102,37,0,1,35,1.79E-05
10154.62345,17,18,1216.575,0.072868773,3.495742571,105,1,0,37,8.93E-06
19721.2186,18,18,1217.598,0.081432232,3.495742571,37,0,0,37,1.79E-06
9575.516996,19,18,1218.68,0.090469307,3.495742571,117,1,0,37,1.79E-05
10129.22159,18,19,1216.89,0.081432232,3.503625926,37,0,1,39,8.93E-06
19715.39732,19,19,1217.97,0.090469307,3.503625926,117,1,1,39,1.79E-06
9593.865849,20,19,1219.109,0.099979652,3.503625926,41,0,1,39,1.79E-05
10106.82824,19,20,1217.229,0.090469307,3.511921819,117,1,0,41,8.93E-06
19715.29191,20,20,1218.367,0.099979652,3.511921819,41,0,0,41,1.79E-06
9592.923623,21,20,1219.563,0.109962903,3.511921819,129,1,0,41,1.79E-05
10085.04211,20,21,1217.583,0.099979652,3.520629884,41,0,1,43,8.93E-06
19670.96453,21,21,1218.778,0.109962903,3.520629884,129,1,1,43,1.79E-06
9592.513609,22,21,1220.032,0.12041868,3.520629884,45,0,1,43,1.79E-05
10084.69154,21,22,1217.963,0.109962903,3.52974974,129,1,0,45,8.93E-06
19668.45358,22,22,1219.215,0.12041868,3.52974974,45,0,0,45,1.79E-06
9590.384674,23,22,1220.527,0.131346582,3.52974974,141,1,0,45,1.79E-05
10057.76143,22,23,1218.35,0.12041868,3.539280983,45,0,1,47,8.93E-06
