Z_Ji_0,Z_Ji_1,Z_Ji_5,Z_Ji_6
,,,
,,,
,,,
,,,
,,,
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
2.18933853801e-253,0.0,0.0,0.0
2.35278630537e-241,1.46431615959e-243,0.0,0.0
2.03547354822e-230,1.76344874222e-232,0.0,0.0
1.97014715931e-220,2.30860791715e-222,4.05356488401e-261,0.0
2.80508560396e-211,4.33533096832e-213,3.30516250679e-250,4.09328636554e-266
7.39351347964e-203,1.47412279704e-204,3.61400090418e-240,1.64051772783e-255
4.38221429298e-195,1.10528647348e-196,6.67219236022e-231,1.13714668285e-245
6.89347674954e-188,2.16149961088e-189,2.53411207299e-222,1.47017610111e-236
3.31717266417e-181,1.27311602218e-182,2.34528599723e-214,4.24360815428e-228
5.51897416615e-175,2.55674445309e-176,6.12028752277e-207,3.19329123883e-220
3.53016936557e-169,1.94941792322e-170,5.1108800503e-200,7.1651917351e-213
9.52183928692e-164,6.19711266803e-165,1.5248300375e-193,5.38920180448e-206
1.17424775289e-158,8.915125663e-160,1.78987724323e-187,1.5052164452e-199
7.10857001427e-154,6.237271761e-155,8.99708508422e-182,1.70818029851e-193
2.24920510103e-149,2.26146268008e-150,2.08704027048e-176,8.52737925515e-188
3.93215131485e-145,4.49529967011e-146,2.38712519137e-171,2.00905881174e-182
3.99059174195e-141,5.15033598939e-142,1.42792833507e-166,2.37805240126e-177
2.45688836986e-137,3.55636644773e-138,4.70797476728e-162,1.49528921237e-172
9.54548742947e-134,1.5403512089e-134,8.96746275356e-158,5.25025122668e-168
2.42462806739e-130,4.33757297237e-131,1.02927890785e-153,1.07656807654e-163
4.15682428219e-127,8.20170894441e-128,7.39460978645e-150,1.3422138325e-159
4.95034400377e-124,1.07212127906e-124,3.44112304682e-146,1.05518041943e-155
4.20307070723e-121,9.94750432266e-122,1.06993279105e-142,5.40579134344e-152
2.60499405296e-118,6.70966092596e-119,2.28613435701e-139,1.85948861001e-148
1.20413840787e-115,3.36237658528e-116,3.44385280479e-136,4.41291786924e-145
4.23320814814e-113,1.27689955349e-113,3.74375742478e-133,7.40637317427e-142
1.15224021786e-110,3.74188159955e-111,3.00009447071e-130,8.99184314935e-139
2.46827933602e-108,8.60274337734e-109,1.80710983456e-127,8.06189192197e-136
4.22406571317e-106,1.57539691216e-106,8.32934757035e-125,5.44007133338e-133
5.85502783148e-104,2.33025941449e-104,2.98632107794e-122,2.8113473893e-130
6.65715423997e-102,2.82001404128e-102,8.45501306724e-120,1.13064254842e-127
6.28171605942e-100,2.82530962276e-100,1.91683234024e-117,3.5912896337e-125
4.97252809818e-98,2.36913125723e-98,3.52469619416e-115,9.13293487765e-123
3.33512329269e-96,1.67959121173e-96,5.31963918973e-113,1.88312506501e-120
