"[14,1]_1214.227","[14,1]_1214.283","[14,1]_1214.397","[14,2]_1214.211","[14,2]_1214.325","[14,2]_1214.495","[14,3]_1214.213","[14,3]_1214.383","[14,3]_1214.61","[14,4]_1214.232","[14,4]_1214.459","[14,4]_1214.743","[14,5]_1214.273","[14,5]_1214.556","[14,5]_1214.896","[14,6]_1214.332","[14,6]_1214.672","[14,6]_1215.07","[14,7]_1214.41","[14,7]_1214.807","[14,7]_1215.261","[14,8]_1214.509","[14,8]_1214.963","[14,8]_1215.474","[14,9]_1214.628","[14,9]_1215.139","[14,9]_1215.706","[14,10]_1214.767","[14,10]_1215.334","[14,10]_1215.958","[14,11]_1214.923","[14,11]_1215.547","[14,11]_1216.229","[14,12]_1215.102","[14,12]_1215.783","[14,12]_1216.521","[14,13]_1215.298","[14,13]_1216.036","[14,13]_1216.832","[14,14]_1215.514","[14,14]_1216.309","[14,14]_1217.162","[14,15]_1215.75","[14,15]_1216.602","[14,15]_1217.512","[14,16]_1216.006","[14,16]_1216.915","[14,16]_1217.882","[14,17]_1216.281","[14,17]_1217.247","[14,17]_1218.271","[14,18]_1216.575","[14,18]_1217.598","[14,18]_1218.68","[14,19]_1216.89","[14,19]_1217.97","[14,20]_1217.229","[14,20]_1218.367","[14,21]_1217.583","[14,21]_1218.778","[14,22]_1217.963","[14,23]_1218.35","[14,24]_1218.768"
0.132037572,0.300393455,0.287930165,0.300393455,0.287930165,0.175812036,0.287930165,0.175812036,0.074769709,0.175812036,0.074769709,0.022925886,0.074769709,0.022925886,0.005155459,0.022925886,0.005155459,0.000858567,0.005155459,0.000858567,0.000106535,0.000858567,0.000106535,9.89E-06,0.000106535,9.89E-06,6.89E-07,9.89E-06,6.89E-07,3.61E-08,6.89E-07,3.61E-08,1.42E-09,3.61E-08,1.42E-09,4.23E-11,1.42E-09,4.23E-11,9.51E-13,4.23E-11,9.51E-13,1.61E-14,9.51E-13,1.61E-14,2.07E-16,1.61E-14,2.07E-16,2.01E-18,2.07E-16,2.01E-18,1.48E-20,2.01E-18,1.48E-20,8.22E-23,1.48E-20,8.22E-23,8.22E-23,3.47E-25,3.47E-25,1.11E-27,1.11E-27,2.69E-30,4.96E-33
0.08939718,0.22302807,0.257063398,0.22302807,0.257063398,0.206977854,0.257063398,0.206977854,0.127279002,0.206977854,0.127279002,0.061878595,0.127279002,0.061878595,0.024192727,0.061878595,0.024192727,0.007680779,0.024192727,0.007680779,0.001992212,0.007680779,0.001992212,0.000423875,0.001992212,0.000423875,7.42E-05,0.000423875,7.42E-05,1.07E-05,7.42E-05,1.07E-05,1.28E-06,1.07E-05,1.28E-06,1.26E-07,1.28E-06,1.26E-07,1.02E-08,1.26E-07,1.02E-08,6.91E-10,1.02E-08,6.91E-10,3.87E-11,6.91E-10,3.87E-11,1.80E-12,3.87E-11,1.80E-12,6.91E-14,1.80E-12,6.91E-14,2.21E-15,6.91E-14,2.21E-15,2.21E-15,5.87E-17,5.87E-17,1.29E-18,1.29E-18,2.37E-20,3.62E-22
0.067566361,0.176517442,0.223105537,0.176517442,0.223105537,0.206279032,0.223105537,0.206279032,0.152533721,0.206279032,0.152533721,0.093377269,0.152533721,0.093377269,0.048137898,0.093377269,0.048137898,0.021101554,0.048137898,0.021101554,0.00791319,0.021101554,0.00791319,0.002548908,0.00791319,0.002548908,0.000707224,0.002548908,0.000707224,0.000169381,0.000707224,0.000169381,3.51E-05,0.000169381,3.51E-05,6.29E-06,3.51E-05,6.29E-06,9.76E-07,6.29E-06,9.76E-07,1.31E-07,9.76E-07,1.31E-07,1.54E-08,1.31E-07,1.54E-08,1.56E-09,1.54E-08,1.56E-09,1.37E-10,1.56E-09,1.37E-10,1.05E-11,1.37E-10,1.05E-11,1.05E-11,7.01E-13,7.01E-13,4.06E-14,4.06E-14,2.05E-15,8.98E-17
0.054302669,0.145844853,0.194822466,0.145844853,0.194822466,0.195713342,0.194822466,0.195713342,0.161650834,0.195713342,0.161650834,0.113633983,0.161650834,0.113633983,0.069153653,0.113633983,0.069153653,0.036788033,0.069153653,0.036788033,0.017211067,0.036788033,0.017211067,0.007110019,0.017211067,0.007110019,0.002600914,0.007110019,0.002600914,0.000844255,0.002600914,0.000844255,0.000243554,0.000844255,0.000243554,6.25E-05,0.000243554,6.25E-05,1.43E-05,6.25E-05,1.43E-05,2.91E-06,1.43E-05,2.91E-06,5.30E-07,2.91E-06,5.30E-07,8.59E-08,5.30E-07,8.59E-08,1.24E-08,8.59E-08,1.24E-08,1.61E-09,1.24E-08,1.61E-09,1.61E-09,1.86E-10,1.86E-10,1.93E-11,1.93E-11,1.78E-12,1.47E-13
0.045390953,0.124178893,0.172112541,0.124178893,0.172112541,0.182733576,0.172112541,0.182733576,0.162482663,0.182733576,0.162482663,0.125248911,0.162482663,0.125248911,0.085137616,0.125248911,0.085137616,0.051529469,0.085137616,0.051529469,0.027938278,0.051529469,0.027938278,0.013623946,0.027938278,0.013623946,0.005992295,0.013623946,0.005992295,0.002382143,0.005992295,0.002382143,0.000857243,0.002382143,0.000857243,0.000279594,0.000857243,0.000279594,8.27E-05,0.000279594,8.27E-05,2.22E-05,8.27E-05,2.22E-05,5.42E-06,2.22E-05,5.42E-06,1.20E-06,5.42E-06,1.20E-06,2.43E-07,1.20E-06,2.43E-07,4.46E-08,2.43E-07,4.46E-08,4.46E-08,7.45E-09,7.45E-09,1.13E-09,1.13E-09,1.57E-10,1.98E-11
0.038991387,0.108085531,0.153805855,0.108085531,0.153805855,0.169878735,0.153805855,0.169878735,0.159223473,0.169878735,0.159223473,0.131090623,0.159223473,0.131090623,0.096434823,0.131090623,0.096434823,0.064002745,0.096434823,0.064002745,0.038555593,0.064002745,0.038555593,0.021166449,0.038555593,0.021166449,0.010619553,0.021166449,0.010619553,0.004879295,0.010619553,0.004879295,0.002056248,0.004879295,0.002056248,0.000795766,0.002056248,0.000795766,0.000283076,0.000795766,0.000283076,9.26E-05,0.000283076,9.26E-05,2.79E-05,9.26E-05,2.79E-05,7.74E-06,2.79E-05,7.74E-06,1.98E-06,7.74E-06,1.98E-06,4.66E-07,1.98E-06,4.66E-07,4.66E-07,1.01E-07,1.01E-07,2.03E-08,2.03E-08,3.75E-09,6.41E-10
0.034173037,0.095669334,0.13885403,0.095669334,0.13885403,0.157977369,0.13885403,0.157977369,0.154036095,0.157977369,0.154036095,0.133240189,0.154036095,0.133240189,0.104000051,0.133240189,0.104000051,0.073964132,0.104000051,0.073964132,0.04821904,0.073964132,0.04821904,0.028931582,0.04821904,0.028931582,0.016021616,0.028931582,0.016021616,0.008205677,0.016021616,0.008205677,0.003892868,0.008205677,0.003892868,0.00171275,0.003892868,0.00171275,0.000699522,0.00171275,0.000699522,0.000265415,0.000699522,0.000265415,9.36E-05,0.000265415,9.36E-05,3.07E-05,9.36E-05,3.07E-05,9.37E-06,3.07E-05,9.37E-06,2.66E-06,9.37E-06,2.66E-06,2.66E-06,7.05E-07,7.05E-07,1.74E-07,1.74E-07,3.99E-08,8.54E-09
0.030414342,0.085803401,0.126463125,0.085803401,0.126463125,0.147234802,0.126463125,0.147234802,0.148041821,0.147234802,0.148041821,0.133069675,0.148041821,0.133069675,0.108766295,0.133069675,0.108766295,0.08162686,0.108766295,0.08162686,0.056586778,0.08162686,0.056586778,0.036381899,0.056586778,0.036381899,0.02175542,0.036381899,0.02175542,0.012124207,0.02175542,0.012124207,0.006306885,0.012124207,0.006306885,0.003066002,0.006306885,0.003066002,0.001394242,0.003066002,0.001394242,0.000593533,0.001394242,0.000593533,0.000236683,0.000593533,0.000236683,8.85E-05,0.000236683,8.85E-05,3.10E-05,8.85E-05,3.10E-05,1.02E-05,3.10E-05,1.02E-05,1.02E-05,3.14E-06,3.14E-06,9.10E-07,9.10E-07,2.47E-07,6.31E-08
0.027400389,0.077777203,0.116051475,0.077777203,0.116051475,0.13762755,0.116051475,0.13762755,0.141826169,0.13762755,0.141826169,0.131460899,0.141826169,0.131460899,0.111487296,0.131460899,0.111487296,0.087346409,0.111487296,0.087346409,0.063602546,0.087346409,0.063602546,0.04321737,0.063602546,0.04321737,0.027480131,0.04321737,0.027480131,0.016385019,0.027480131,0.016385019,0.009175158,0.016385019,0.009175158,0.004831008,0.009175158,0.004831008,0.002394034,0.004831008,0.002394034,0.001117437,0.002394034,0.001117437,0.000491573,0.001117437,0.000491573,0.000203918,0.000491573,0.000203918,7.98E-05,0.000203918,7.98E-05,2.95E-05,7.98E-05,2.95E-05,2.95E-05,1.03E-05,1.03E-05,3.38E-06,3.38E-06,1.05E-06,3.09E-07
0.024929795,0.071121099,0.107192652,0.071121099,0.107192652,0.129054114,0.107192652,0.129054114,0.135693366,0.129054114,0.135693366,0.12897868,0.135693366,0.12897868,0.112732387,0.12897868,0.112732387,0.091485604,0.112732387,0.091485604,0.069350311,0.091485604,0.069350311,0.049303709,0.069350311,0.049303709,0.032966117,0.049303709,0.032966117,0.020773193,0.032966117,0.020773193,0.012355373,0.020773193,0.012355373,0.006944542,0.012355373,0.006944542,0.003692125,0.006944542,0.003692125,0.001858166,0.003692125,0.001858166,0.000885808,0.001858166,0.000885808,0.000400192,0.000885808,0.000400192,0.000171421,0.000400192,0.000171421,6.96E-05,0.000171421,6.96E-05,6.96E-05,2.68E-05,2.68E-05,9.82E-06,9.82E-06,3.41E-06,1.12E-06
