eff_tau_01,eff_tau_02,eff_tau_14,eff_tau_17
9.79E-11,4.91E-10,2.16E-10,4.46E-11
2.45E-10,1.24E-09,6.64E-10,1.48E-10
5.18E-10,2.67E-09,1.67E-09,3.97E-10
9.67E-10,5.03E-09,3.61E-09,9.04E-10
1.63E-09,8.59E-09,6.92E-09,1.81E-09
2.55E-09,1.35E-08,1.21E-08,3.29E-09
3.74E-09,2.00E-08,1.94E-08,5.49E-09
5.21E-09,2.80E-08,2.94E-08,8.56E-09
6.94E-09,3.75E-08,4.23E-08,1.26E-08
8.93E-09,4.84E-08,5.81E-08,1.78E-08
1.11E-08,6.06E-08,7.69E-08,2.41E-08
1.35E-08,7.39E-08,9.86E-08,3.15E-08
1.61E-08,8.81E-08,1.23E-07,4.00E-08
1.87E-08,1.03E-07,1.50E-07,4.96E-08
2.14E-08,1.18E-07,1.79E-07,6.01E-08
2.42E-08,1.34E-07,2.10E-07,7.15E-08
2.70E-08,1.50E-07,2.43E-07,8.36E-08
2.97E-08,1.65E-07,2.76E-07,9.64E-08
3.25E-08,1.81E-07,3.11E-07,1.10E-07
3.51E-08,1.96E-07,3.45E-07,1.23E-07
3.76E-08,2.11E-07,3.80E-07,1.37E-07
4.01E-08,2.25E-07,4.15E-07,1.51E-07
4.24E-08,2.38E-07,4.50E-07,1.65E-07
4.47E-08,2.51E-07,4.83E-07,1.78E-07
4.67E-08,2.63E-07,5.16E-07,1.92E-07
4.87E-08,2.75E-07,5.48E-07,2.05E-07
5.05E-08,2.85E-07,5.79E-07,2.18E-07
5.22E-08,2.95E-07,6.09E-07,2.31E-07
5.38E-08,3.04E-07,6.37E-07,2.43E-07
5.52E-08,3.13E-07,6.64E-07,2.55E-07
5.64E-08,3.20E-07,6.89E-07,2.66E-07
5.76E-08,3.27E-07,7.13E-07,2.77E-07
5.86E-08,3.33E-07,7.36E-07,2.87E-07
5.96E-08,3.39E-07,7.57E-07,2.96E-07
6.04E-08,3.44E-07,7.76E-07,3.05E-07
6.11E-08,3.48E-07,7.94E-07,3.14E-07
6.16E-08,3.52E-07,8.10E-07,3.22E-07
6.21E-08,3.55E-07,8.25E-07,3.29E-07
6.25E-08,3.57E-07,8.39E-07,3.36E-07
6.28E-08,3.59E-07,8.51E-07,3.42E-07
6.31E-08,3.61E-07,8.62E-07,3.47E-07
1.55E-10,7.78E-10,3.42E-10,7.07E-11
3.88E-10,1.97E-09,1.05E-09,2.34E-10
8.21E-10,4.23E-09,2.65E-09,6.29E-10
1.53E-09,7.98E-09,5.73E-09,1.43E-09
2.59E-09,1.36E-08,1.10E-08,2.87E-09
4.05E-09,2.14E-08,1.91E-08,5.21E-09
5.93E-09,3.16E-08,3.08E-08,8.70E-09
8.26E-09,4.43E-08,4.66E-08,1.36E-08
1.10E-08,5.94E-08,6.70E-08,2.00E-08
1.41E-08,7.67E-08,9.20E-08,2.82E-08
1.76E-08,9.60E-08,1.22E-07,3.82E-08
2.14E-08,1.17E-07,1.56E-07,4.99E-08
2.55E-08,1.40E-07,1.95E-07,6.34E-08
2.97E-08,1.63E-07,2.38E-07,7.86E-08
3.40E-08,1.88E-07,2.84E-07,9.53E-08
3.84E-08,2.12E-07,3.33E-07,1.13E-07
4.28E-08,2.37E-07,3.85E-07,1.33E-07
4.71E-08,2.62E-07,4.38E-07,1.53E-07
5.14E-08,2.87E-07,4.92E-07,1.74E-07
5.56E-08,3.11E-07,5.47E-07,1.95E-07
5.97E-08,3.34E-07,6.03E-07,2.17E-07
6.36E-08,3.56E-07,6.58E-07,2.39E-07
6.73E-08,3.78E-07,7.13E-07,2.61E-07
7.08E-08,3.98E-07,7.66E-07,2.83E-07
7.41E-08,4.17E-07,8.19E-07,3.04E-07
7.72E-08,4.35E-07,8.69E-07,3.26E-07
8.01E-08,4.52E-07,9.18E-07,3.46E-07
8.27E-08,4.68E-07,9.65E-07,3.66E-07
8.52E-08,4.82E-07,1.01E-06,3.85E-07
8.74E-08,4.96E-07,1.05E-06,4.04E-07
8.95E-08,5.08E-07,1.09E-06,4.22E-07
9.13E-08,5.19E-07,1.13E-06,4.39E-07
9.29E-08,5.28E-07,1.17E-06,4.55E-07
9.44E-08,5.37E-07,1.20E-06,4.70E-07
9.57E-08,5.45E-07,1.23E-06,4.84E-07
9.68E-08,5.52E-07,1.26E-06,4.97E-07
9.77E-08,5.57E-07,1.28E-06,5.10E-07
9.85E-08,5.62E-07,1.31E-06,5.21E-07
9.91E-08,5.66E-07,1.33E-06,5.32E-07
9.96E-08,5.70E-07,1.35E-06,5.42E-07
1.00E-07,5.72E-07,1.37E-06,5.51E-07
2.46E-10,1.23E-09,5.43E-10,1.12E-10
6.15E-10,3.13E-09,1.67E-09,3.72E-10
1.30E-09,6.71E-09,4.20E-09,9.97E-10
2.43E-09,1.26E-08,9.07E-09,2.27E-09
4.11E-09,2.16E-08,1.74E-08,4.56E-09
6.41E-09,3.40E-08,3.03E-08,8.26E-09
9.40E-09,5.02E-08,4.88E-08,1.38E-08
1.31E-08,7.02E-08,7.39E-08,2.15E-08
1.74E-08,9.41E-08,1.06E-07,3.17E-08
2.24E-08,1.22E-07,1.46E-07,4.47E-08
2.80E-08,1.52E-07,1.93E-07,6.05E-08
3.40E-08,1.86E-07,2.48E-07,7.91E-08
4.03E-08,2.21E-07,3.09E-07,1.01E-07
4.70E-08,2.59E-07,3.77E-07,1.25E-07
5.39E-08,2.97E-07,4.50E-07,1.51E-07
6.08E-08,3.37E-07,5.28E-07,1.80E-07
6.78E-08,3.76E-07,6.09E-07,2.10E-07
7.47E-08,4.16E-07,6.94E-07,2.42E-07
8.15E-08,4.54E-07,7.80E-07,2.75E-07
8.82E-08,4.92E-07,8.68E-07,3.09E-07
9.46E-08,5.29E-07,9.56E-07,3.44E-07
1.01E-07,5.65E-07,1.04E-06,3.79E-07
1.07E-07,5.99E-07,1.13E-06,4.14E-07
1.12E-07,6.31E-07,1.21E-06,4.48E-07
1.17E-07,6.61E-07,1.30E-06,4.82E-07
1.22E-07,6.90E-07,1.38E-06,5.16E-07
1.27E-07,7.17E-07,1.46E-06,5.49E-07
1.31E-07,7.42E-07,1.53E-06,5.80E-07
1.35E-07,7.65E-07,1.60E-06,6.11E-07
1.39E-07,7.86E-07,1.67E-06,6.40E-07
1.42E-07,8.05E-07,1.73E-06,6.68E-07
