"Z_Ji_[14,1]","Z_Ji_[14,2]","Z_Ji_[14,3]","Z_Ji_[14,4]","Z_Ji_[14,5]","Z_Ji_[14,6]","Z_Ji_[14,7]","Z_Ji_[14,8]","Z_Ji_[14,9]","Z_Ji_[14,10]","Z_Ji_[14,11]","Z_Ji_[14,12]","Z_Ji_[14,13]","Z_Ji_[14,14]","Z_Ji_[14,15]","Z_Ji_[14,16]","Z_Ji_[14,17]","Z_Ji_[14,18]","Z_Ji_[14,19]","Z_Ji_[14,20]"
0.300393455,0.287930165,0.175812036,0.074769709,0.022925886,0.005155459,0.000858567,0.000106535,9.89E-06,6.89E-07,3.61E-08,1.42E-09,4.23E-11,9.51E-13,1.61E-14,2.07E-16,2.01E-18,1.48E-20,8.22E-23,3.47E-25
0.290524675,0.285904044,0.181610958,0.081413896,0.026662236,0.006488623,0.001184922,0.000163362,1.71E-05,1.36E-06,8.21E-08,3.79E-09,1.34E-10,3.61E-12,7.47E-14,1.18E-15,1.44E-17,1.34E-19,9.55E-22,5.24E-24
0.281224762,0.283459721,0.186643724,0.087774695,0.030518641,0.007980248,0.001584693,0.000240432,2.80E-05,2.51E-06,1.73E-07,9.23E-09,3.80E-10,1.21E-11,3.00E-13,5.76E-15,8.56E-17,9.89E-19,8.87E-21,6.18E-23
0.272454344,0.280690466,0.190982439,0.093829669,0.034456661,0.009620707,0.002062351,0.000341492,4.39E-05,4.38E-06,3.41E-07,2.07E-08,9.85E-10,3.66E-11,1.07E-12,2.44E-14,4.36E-16,6.13E-18,6.77E-20,5.86E-22
0.264175896,0.277671879,0.194694837,0.099565624,0.038441602,0.011398411,0.002620945,0.000470199,6.61E-05,7.30E-06,6.34E-07,4.35E-08,2.35E-09,1.01E-10,3.41E-12,9.13E-14,1.94E-15,3.26E-17,4.35E-19,4.60E-21
0.256354142,0.274465303,0.197843691,0.104976665,0.042442714,0.013300448,0.00326213,0.000630008,9.62E-05,1.16E-05,1.12E-06,8.58E-08,5.23E-09,2.55E-10,9.90E-12,3.07E-13,7.63E-15,1.51E-16,2.41E-18,3.06E-20
0.248956205,0.271120549,0.20048662,0.11006255,0.046433178,0.015313136,0.003986254,0.000824077,0.000135843,1.79E-05,1.89E-06,1.60E-07,1.09E-08,5.99E-10,2.64E-11,9.41E-13,2.70E-14,6.24E-16,1.17E-17,1.76E-19
0.241951628,0.267678086,0.202676143,0.114827349,0.050389941,0.017422472,0.004792482,0.001055194,0.000186719,2.66E-05,3.07E-06,2.86E-07,2.16E-08,1.32E-09,6.56E-11,2.65E-12,8.68E-14,2.31E-15,5.01E-17,8.84E-19
0.235312309,0.264170787,0.204459885,0.119278342,0.054293478,0.019614504,0.00567894,0.001325723,0.000250552,3.84E-05,4.80E-06,4.88E-07,4.05E-08,2.75E-09,1.52E-10,6.91E-12,2.56E-13,7.79E-15,1.94E-16,3.96E-18
0.229012381,0.260625343,0.205880868,0.123425144,0.058127492,0.021875613,0.006642868,0.001637579,0.000329051,5.40E-05,7.27E-06,8.03E-07,7.28E-08,5.43E-09,3.33E-10,1.68E-11,7.02E-13,2.41E-14,6.83E-16,1.60E-17
0.22302807,0.257063398,0.206977854,0.127279002,0.061878595,0.024192727,0.007680779,0.001992212,0.000423875,7.42E-05,1.07E-05,1.28E-06,1.26E-07,1.02E-08,6.91E-10,3.87E-11,1.80E-12,6.91E-14,2.21E-15,5.87E-17
0.217337547,0.253502466,0.207785695,0.130852239,0.065535993,0.026553468,0.008788606,0.002390613,0.000536599,9.97E-05,1.54E-05,1.96E-06,2.09E-07,1.85E-08,1.37E-09,8.41E-11,4.32E-12,1.85E-13,6.62E-15,1.98E-16
0.211920771,0.249956678,0.20833568,0.134157826,0.069091178,0.028946255,0.00996184,0.002833326,0.000668688,0.000131329,2.15E-05,2.94E-06,3.37E-07,3.22E-08,2.59E-09,1.74E-10,9.82E-12,4.65E-13,1.85E-14,6.18E-16
0.206759342,0.246437383,0.208655878,0.137209045,0.072537632,0.031360362,0.011195654,0.003320477,0.000821473,0.000170007,2.95E-05,4.30E-06,5.26E-07,5.42E-08,4.70E-09,3.44E-10,2.12E-11,1.10E-12,4.85E-14,1.80E-15
0.201836361,0.242953647,0.208771449,0.140019236,0.075870566,0.033785947,0.012485019,0.003851801,0.000996137,0.000216567,3.97E-05,6.13E-06,8.00E-07,8.83E-08,8.25E-09,6.53E-10,4.38E-11,2.49E-12,1.20E-13,4.92E-15
0.197136298,0.239512653,0.208704939,0.142601602,0.079086672,0.036214055,0.013824794,0.004426685,0.0011937,0.00027186,5.24E-05,8.56E-06,1.19E-06,1.40E-07,1.40E-08,1.19E-09,8.67E-11,5.36E-12,2.82E-13,1.27E-14
0.192644868,0.236120031,0.208476545,0.144969068,0.082183906,0.038636598,0.015209814,0.005044198,0.001415015,0.000336719,6.81E-05,1.17E-05,1.72E-06,2.16E-07,2.31E-08,2.11E-09,1.65E-10,1.10E-11,6.32E-13,3.10E-14
0.188348921,0.232780134,0.208104367,0.147134177,0.085161295,0.041046329,0.016634954,0.005703137,0.001660765,0.000411946,8.72E-05,1.58E-05,2.45E-06,3.25E-07,3.70E-08,3.61E-09,3.03E-10,2.18E-11,1.35E-12,7.20E-14
0.184236342,0.229496256,0.207604618,0.149109018,0.088018766,0.0434368,0.018095184,0.006402065,0.00193146,0.000498305,0.000110168,2.09E-05,3.41E-06,4.78E-07,5.77E-08,6.01E-09,5.39E-10,4.17E-11,2.78E-12,1.60E-13
0.180295955,0.226270822,0.206991831,0.15090518,0.090756992,0.045802319,0.019585621,0.007139348,0.002227446,0.000596511,0.000137404,2.73E-05,4.67E-06,6.90E-07,8.81E-08,9.73E-09,9.29E-10,7.69E-11,5.51E-12,3.42E-13
0.176517442,0.223105537,0.206279032,0.152533721,0.093377269,0.048137898,0.021101554,0.00791319,0.002548908,0.000707224,0.000169381,3.51E-05,6.29E-06,9.76E-07,1.31E-07,1.54E-08,1.56E-09,1.37E-10,1.05E-11,7.01E-13
