ry_int,ry_out,lambda
7.00E-15,6.99E-15,1200.008313
7.00E-15,6.99E-15,1200.018283
7.00E-15,6.99E-15,1200.028253
7.00E-15,6.99E-15,1200.038223
7.00E-15,6.99E-15,1200.048193
7.00E-15,6.99E-15,1200.058163
7.00E-15,6.99E-15,1200.068133
7.00E-15,6.99E-15,1200.078103
7.00E-15,6.99E-15,1200.088073
7.00E-15,6.99E-15,1200.098043
7.00E-15,6.99E-15,1200.108013
7.00E-15,6.99E-15,1200.117983
7.00E-15,6.99E-15,1200.127953
7.00E-15,6.99E-15,1200.137923
7.00E-15,6.99E-15,1200.147893
7.00E-15,6.99E-15,1200.157863
7.00E-15,6.99E-15,1200.167833
7.00E-15,6.99E-15,1200.177803
7.00E-15,6.99E-15,1200.187773
7.00E-15,6.99E-15,1200.197743
7.00E-15,6.99E-15,1200.207713
7.00E-15,6.99E-15,1200.217683
7.00E-15,6.99E-15,1200.227653
7.00E-15,6.99E-15,1200.237623
7.00E-15,6.99E-15,1200.247593
7.00E-15,6.99E-15,1200.257563
7.00E-15,6.99E-15,1200.267533
7.00E-15,6.99E-15,1200.277503
7.00E-15,6.99E-15,1200.287473
7.00E-15,6.99E-15,1200.297443
7.00E-15,6.99E-15,1200.307413
7.00E-15,6.99E-15,1200.317383
7.00E-15,6.99E-15,1200.327353
7.00E-15,6.99E-15,1200.337323
7.00E-15,6.99E-15,1200.347293
7.00E-15,6.99E-15,1200.357263
7.00E-15,6.99E-15,1200.367233
7.00E-15,6.99E-15,1200.377203
7.00E-15,6.99E-15,1200.387173
7.00E-15,6.99E-15,1200.397143
7.00E-15,6.99E-15,1200.407113
7.00E-15,6.99E-15,1200.417083
7.00E-15,6.99E-15,1200.427053
7.00E-15,6.99E-15,1200.437023
7.00E-15,6.99E-15,1200.446993
7.00E-15,6.99E-15,1200.456963
7.00E-15,6.99E-15,1200.466933
7.00E-15,6.99E-15,1200.476903
7.00E-15,6.99E-15,1200.486873
7.00E-15,6.99E-15,1200.496843
7.00E-15,6.99E-15,1200.506813
7.00E-15,6.99E-15,1200.516783
7.00E-15,6.99E-15,1200.526753
7.00E-15,6.99E-15,1200.536723
7.00E-15,6.99E-15,1200.546693
7.00E-15,6.99E-15,1200.556663
