Aul,Aul_total,Jf,Jl,Ju,Wavelength
8604457.688,155319174.7,0,0,1,1315.677
12902719.4,155319175.1,1,0,1,1315.741
4301257.442,155319173.4,2,0,1,1315.871
7742620.221,155323167.2,1,1,2,1315.657
12906330.93,155323168.3,2,1,2,1315.786
5160289.667,155323168.5,3,1,2,1315.981
7374975.501,155286582.4,2,2,3,1315.656
12901271.47,155286583.5,3,2,3,1315.85
5526644.955,155286582.1,4,2,3,1316.109
7171426.464,155259270.1,3,3,4,1315.672
12895373.28,155259270.7,4,3,4,1315.932
5730872.495,155259272.1,5,3,4,1316.255
7037660.405,155274203.1,4,4,5,1315.713
12888877.59,155274204.8,5,4,5,1316.036
5860820.164,155274203.8,6,4,5,1316.425
6947651.574,155217025.3,5,5,6,1315.773
12899749.46,155217024.4,6,5,6,1316.162
5946777.835,155217023.8,7,5,6,1316.616
6880763.87,155179600.1,6,6,7,1315.854
12892496.52,155179598.1,7,6,7,1316.308
6011672.018,155179597,8,6,7,1316.826
6826692.558,155143715.3,7,7,8,1315.958
12878595.71,155143713.6,8,7,8,1316.476
6060157.915,155143712.5,9,7,8,1317.059
6789271.304,155122755.8,8,8,9,1316.083
12895508.75,155122756.1,9,8,9,1316.666
6095524.87,155122757.6,10,8,9,1317.314
6749337.074,155048882.3,9,9,10,1316.229
12877560.64,155048881.2,10,9,10,1316.877
6128630.645,155048881.9,11,9,10,1317.59
6724237.42,155032873.7,10,10,11,1316.395
12887639.27,155032872.3,11,10,11,1317.107
6146951.668,155032871.9,12,10,11,1317.886
6703570.309,154938552.1,11,11,12,1316.584
12876358.24,154938552.9,12,11,12,1317.362
6169321.533,154938551,13,11,12,1318.205
6679509.022,154881861.1,12,12,13,1316.793
12858470.55,154881859.4,13,12,13,1317.635
6188569.968,154881858.5,14,12,13,1318.544
6661294.072,154821739.9,13,13,14,1317.023
12851682.22,154821740.3,14,13,14,1317.931
6198961.722,154821741,15,13,14,1318.904
6643996.418,154737414.4,14,14,15,1317.274
12846595.39,154737414.5,15,14,15,1318.247
6210173.331,154737413.6,16,14,15,1319.286
6623646.563,154686547.5,15,15,16,1317.547
12865098.67,154686547,16,15,16,1318.585
6218507.894,154686546,17,15,16,1319.689
6612249.752,154561784.7,16,16,17,1317.841
12841701.36,154561785.7,17,16,17,1318.944
6220888.327,154561784.4,18,16,17,1320.114
6607065.87,154463574.5,17,17,18,1318.155
12830355.02,154463575.5,18,17,18,1319.324
6229109.717,154463574.4,19,17,18,1320.559
6590581.246,154407497.7,18,18,19,1318.492
12826608.19,154407496.5,19,18,19,1319.725
6576043.959,154303486.5,19,19,20,1318.856
12826542.86,154303486.1,20,19,20,1320.155
6561914.057,154193278.1,20,20,21,1319.235
12797729.89,154193278.7,21,20,21,1320.599
6561732.942,154081152.7,21,21,22,1319.642
6544253.237,153967151.9,22,22,23,1320.057
6538334.622,153823235.7,23,23,24,1320.505
